Entity,Population
India,1450935791
China,1419321278
United States,345426571
Indonesia,283487931
Pakistan,251269164
Nigeria,232679478
Brazil,211998573
Bangladesh,173562364
Russia,144820423
Ethiopia,132059767
Mexico,130861007
Japan,123753041
Egypt,116538258
Philippines,115843670
DR Congo,109276265
Vietnam,100987686
Iran,91567738
Turkey,87473805
Germany,84552242
Thailand,71668011
United Kingdom,69138192
Tanzania,68560157
France,66548530
South Africa,64007187
Italy,59342867
Kenya,56432944
Myanmar,54500091
Colombia,52886363
South Korea,51717590
Sudan,50448963
Uganda,50015092
Spain,47910526
Algeria,46814308
Iraq,46042015
Argentina,45696159
Afghanistan,42647492
Yemen,40583164
Canada,39742430
Poland,38539201
Morocco,38081173
Angola,37885849
Ukraine,37860221
Uzbekistan,36361859
Malaysia,35557673
Mozambique,34631766
Ghana,34427414
Peru,34217848
Saudi Arabia,33962757
Madagascar,31964956
Côte d'Ivoire,31934230
Nepal,29651054
Cameroon,29123744
Venezuela,28405543
Niger,27032412
Australia,26713205
North Korea,26498823
Syria,24672760
Mali,24478595
Burkina Faso,23548781
Taiwan,23213962
Sri Lanka,23103565
Malawi,21655286
Zambia,21314956
Kazakhstan,20592571
Chad,20299123
Chile,19764771
Romania,19015088
Somalia,19009151
Senegal,18501984
Guatemala,18406359
Netherlands,18228742
Ecuador,18135478
Cambodia,17638801
Zimbabwe,16634373
Guinea,14754785
Benin,14462724
Rwanda,14256567
Burundi,14047786
Bolivia,12413315
Tunisia,12277109
South Sudan,11943408
Haiti,11772557
Belgium,11738763
Jordan,11552876
Dominican Republic,11427557
United Arab Emirates,11027129
Cuba,10979783
Honduras,10825703
Czech Republic (Czechia),10735859
Sweden,10606999
Tajikistan,10590927
Papua New Guinea,10576502
Portugal,10425292
Azerbaijan,10336577
Greece,10047817
Hungary,9676135
Togo,9515236
Israel,9387021
Laos,9206877
Switzerland,8688126
Paraguay,7588963
Serbia,7457788
Bulgaria,7011349
Libya,6637444
Lebanon,6642218
Kyrgyzstan,6563676
Nicaragua,6444151
El Salvador,6291913
Turkmenistan,6448765
Singapore,5865487
Denmark,5811436
Finland,5561376
Slovakia,5451245
Congo,5535833
Norway,5441211
Oman,5266078
Palestine,5229345
Costa Rica,5191189
Liberia,5241741
Ireland,5111789
Central African Republic,5023762
New Zealand,5032376
Mauritania,4707273
Panama,4570343
Kuwait,4553480
Croatia,4201911
Moldova,3938772
Georgia,3883261
Eritrea,3739458
Uruguay,3586177
Bosnia and Herzegovina,3269460
Mongolia,3362680
Armenia,2949412
Jamaica,2824436
Qatar,2786413
Albania,2730628
Lithuania,2634460
Namibia,2642800
Gambia,2641905
Botswana,2606225
Gabon,2359608
Lesotho,2315807
North Macedonia,2086901
Slovenia,2095662
Guinea-Bissau,2071230
Latvia,1872215
Bahrain,1852835
Trinidad and Tobago,1594811
Estonia,1345815
Timor-Leste,1326447
Mauritius,1266114
Cyprus,1235150
Eswatini,1160163
Djibouti,1069850
Fiji,938947
Comoros,883228
Guyana,835798
Bhutan,809893
Solomon Islands,724273
Montenegro,614366
Luxembourg,645042
Suriname,606080
Cabo Verde,573465
Malta,518536
Brunei,439336
Belize,440377
Maldives,408154
Bahamas,410142
Iceland,389896
Vanuatu,323197
Barbados,303111
São Tomé and Príncipe,229267
Samoa,211307
Saint Lucia,174654
Kiribati,125098
Grenada,126858
Saint Vincent and the Grenadines,104332
Tonga,106760
Seychelles,103635
Antigua and Barbuda,98214
Andorra,79519
Dominica,74091
Marshall Islands,59190
Saint Kitts and Nevis,53540
Monaco,40046
Liechtenstein,38874
San Marino,33894
Palau,18134
Tuvalu,11517
Nauru,10747
Vatican City,517
