,source,target,value
0,0,24,11396777000.0
1,0,25,981503740.0
2,1,24,2829644300.0
3,1,25,34407930.0
4,2,24,728883260.0
5,2,25,918613400.0
6,3,24,5057303600.0
7,3,25,141749500.0
8,4,24,511971970.0
9,4,25,350713820.0
10,5,24,547943900.0
11,5,25,117882600.0
12,6,24,1652177300.0
13,6,25,313029470.0
14,7,24,665604700.0
15,7,25,8088792.5
16,8,24,318654370.0
17,8,25,15930595.0
18,9,24,483477300.0
19,9,25,1112991500.0
20,10,24,192864430.0
21,10,25,26025576.0
22,11,24,99717870.0
23,11,25,37251150.0
24,12,24,3601595.0
25,12,25,512417540.0
26,13,24,404053980.0
27,13,25,1126277.0
28,14,24,258951660.0
29,14,25,450085.78
30,15,24,392279260.0
31,15,25,15401623.0
32,16,24,32211814.0
33,16,25,2565239.5
34,17,24,7823140.0
35,17,25,22556170.0
36,24,18,14955304560.0
37,25,18,1934525070.0
38,24,19,6117219470.0
39,25,19,610345920.0
40,24,20,2636436370.0
41,25,20,337048857.5
42,24,21,776059600.0
43,25,21,1176268226.0
44,24,22,666607235.0
45,25,22,513993902.78
46,24,23,432314214.0
47,25,23,40523032.5
