Entity,Code,Emissions
Afghanistan,AFG,0.29536375
Albania,ALB,1.7432004
Algeria,DZA,3.9272263
Andorra,AND,4.6171236
Angola,AGO,0.45155162
Anguilla,AIA,8.752724
Antigua and Barbuda,ATG,6.4218745
Argentina,ARG,4.2378173
Armenia,ARM,2.3045583
Aruba,ABW,8.133404
Australia,AUS,14.985412
Austria,AUT,6.8781943
Azerbaijan,AZE,3.6746833
Bahamas,BHS,5.1708703
Bahrain,BHR,25.672274
Bangladesh,BGD,0.5964455
Barbados,BRB,4.3772573
Belarus,BLR,6.1669006
Belgium,BEL,7.6875386
Belize,BLZ,1.7894346
Benin,BEN,0.631487
Bermuda,BMU,6.9370627
Bhutan,BTN,1.3489918
Bolivia,BOL,1.7583066
Bonaire Sint Eustatius and Saba,BES,4.083284
Bosnia and Herzegovina,BIH,6.1034565
Botswana,BWA,2.838951
Brazil,BRA,2.2454574
British Virgin Islands,VGB,5.0039577
Brunei,BRN,23.950201
Bulgaria,BGR,6.8044534
Burkina Faso,BFA,0.26295447
Burundi,BDI,0.06194545
Cambodia,KHM,1.1900775
Cameroon,CMR,0.34292704
Canada,CAN,14.249212
Cape Verde,CPV,0.9588915
Central African Republic,CAF,0.040548485
Chad,TCD,0.13367727
Chile,CHL,4.3041654
China,CHN,7.992761
Colombia,COL,1.9223082
Comoros,COM,0.49327007
Congo,COG,1.2447897
Cook Islands,COK,3.9950094
Costa Rica,CRI,1.5226681
Cote d'Ivoire,CIV,0.41668788
Croatia,HRV,4.348515
Cuba,CUB,1.8659163
Curacao,CUW,9.189007
Cyprus,CYP,5.616782
Czechia,CZE,9.3357525
Democratic Republic of Congo,COD,0.036375992
Denmark,DNK,4.940161
Djibouti,DJI,0.40418932
Dominica,DMA,2.1058853
Dominican Republic,DOM,2.1051137
East Timor,TLS,0.49869007
Ecuador,ECU,2.3117273
Egypt,EGY,2.333106
El Salvador,SLV,1.2174718
Equatorial Guinea,GNQ,3.0307202
Eritrea,ERI,0.18914719
Estonia,EST,7.77628
Eswatini,SWZ,1.0527312
Ethiopia,ETH,0.15458965
Faroe Islands,FRO,14.084624
Fiji,FJI,1.1550449
Finland,FIN,6.5267396
France,FRA,4.603891
French Polynesia,PYF,2.8509297
Gabon,GAB,2.3882635
Gambia,GMB,0.2847278
Georgia,GEO,2.962545
Germany,DEU,7.9837584
Ghana,GHA,0.6215505
Greece,GRC,5.7451057
Greenland,GRL,10.473997
Grenada,GRD,2.7133646
Guatemala,GTM,1.0756185
Guinea,GIN,0.35742033
Guinea-Bissau,GNB,0.15518051
Guyana,GUY,4.3736935
Haiti,HTI,0.21119381
Honduras,HND,1.0696708
Hong Kong,HKG,4.081913
Hungary,HUN,4.449911
Iceland,ISL,9.499798
India,IND,1.9966822
Indonesia,IDN,2.6456614
Iran,IRN,7.7993317
Iraq,IRQ,4.024638
Ireland,IRL,7.7211185
Israel,ISR,6.208912
Italy,ITA,5.726825
Jamaica,JAM,2.2945588
Japan,JPN,8.501681
Jordan,JOR,2.0301995
Kazakhstan,KAZ,13.979704
Kenya,KEN,0.45998666
Kiribati,KIR,0.5184742
Kosovo,OWID_KOS,4.830646
Kuwait,KWT,25.578102
Kyrgyzstan,KGZ,1.4251612
Laos,LAO,3.0803475
Latvia,LVA,3.561689
Lebanon,LBN,4.3543963
Lesotho,LSO,1.3594668
Liberia,LBR,0.1653753
Libya,LBY,9.242238
Liechtenstein,LIE,3.8097827
Lithuania,LTU,4.606163
Luxembourg,LUX,11.618432
Macao,MAC,1.5127679
Madagascar,MDG,0.14871116
Malawi,MWI,0.10262384
Malaysia,MYS,8.576508
Maldives,MDV,3.2475724
Mali,MLI,0.31153768
Malta,MLT,3.1035979
Marshall Islands,MHL,3.6353714
Mauritania,MRT,0.957337
Mauritius,MUS,3.2697906
Mexico,MEX,4.0153365
Micronesia (country),FSM,1.3243006
Moldova,MDA,1.6565942
Mongolia,MNG,11.150772
Montenegro,MNE,3.6558185
Montserrat,MSR,4.8447766
Morocco,MAR,1.8263615
Mozambique,MOZ,0.24274588
Myanmar,MMR,0.6445672
Namibia,NAM,1.5399038
Nauru,NRU,4.1700416
Nepal,NPL,0.5074035
Netherlands,NLD,7.1372175
New Caledonia,NCL,17.641167
New Zealand,NZL,6.212154
Nicaragua,NIC,0.79879653
Niger,NER,0.116688
Nigeria,NGA,0.5891771
Niue,NIU,3.8729508
North Korea,PRK,1.9513915
North Macedonia,MKD,3.6245701
Norway,NOR,7.5093055
Oman,OMN,15.730261
Pakistan,PAK,0.84893465
Palau,PLW,12.123921
Palestine,PSE,0.6660658
Panama,PAN,2.699258
Papua New Guinea,PNG,0.77131313
Paraguay,PRY,1.3299496
Peru,PER,1.7891879
Philippines,PHL,1.3014648
Poland,POL,8.106886
Portugal,PRT,4.050785
Qatar,QAT,37.601273
Romania,ROU,3.739777
Russia,RUS,11.416899
Rwanda,RWA,0.112346195
Saint Helena,SHN,3.2986484
Saint Kitts and Nevis,KNA,4.708081
Saint Lucia,LCA,2.6149206
Saint Pierre and Miquelon,SPM,10.293288
Saint Vincent and the Grenadines,VCT,2.2964725
Samoa,WSM,1.1218625
Sao Tome and Principe,STP,0.5816142
Saudi Arabia,SAU,18.197495
