Entity,Code,Emissions,EmissionsPerCapita
Afghanistan,AFG,12,0.29536375
Albania,ALB,5,1.7432004
Algeria,DZA,176,3.9272263
Andorra,AND,0,4.6171236
Angola,AGO,16,0.45155162
Anguilla,AIA,0,8.752724
Antigua and Barbuda,ATG,1,6.4218745
Argentina,ARG,193,4.2378173
Armenia,ARM,6,2.3045583
Aruba,ABW,1,8.133404
Australia,AUS,392,14.985412
Austria,AUT,61,6.8781943
Azerbaijan,AZE,38,3.6746833
Bahamas,BHS,2,5.1708703
Bahrain,BHR,38,25.672274
Bangladesh,BGD,102,0.5964455
Barbados,BRB,1,4.3772573
Belarus,BLR,59,6.1669006
Belgium,BEL,90,7.6875386
Belize,BLZ,1,1.7894346
Benin,BEN,8,0.631487
Bermuda,BMU,0,6.9370627
Bhutan,BTN,1,1.3489918
Bolivia,BOL,21,1.7583066
Bonaire Sint Eustatius and Saba,BES,0,4.083284
Bosnia and Herzegovina,BIH,20,6.1034565
Botswana,BWA,7,2.838951
Brazil,BRA,483,2.2454574
British Virgin Islands,VGB,0,5.0039577
Brunei,BRN,11,23.950201
Bulgaria,BGR,46,6.8044534
Burkina Faso,BFA,6,0.26295447
Burundi,BDI,1,0.06194545
Cambodia,KHM,20,1.1900775
Cameroon,CMR,10,0.34292704
Canada,CAN,548,14.249212
Cape Verde,CPV,1,0.9588915
Central African Republic,CAF,0,0.040548485
Chad,TCD,2,0.13367727
Chile,CHL,84,4.3041654
China,CHN,11397,7.992761
Colombia,COL,100,1.9223082
Comoros,COM,0,0.49327007
Congo,COG,7,1.2447897
Cook Islands,COK,0,3.9950094
Costa Rica,CRI,8,1.5226681
Cote d'Ivoire,CIV,12,0.41668788
Croatia,HRV,18,4.348515
Cuba,CUB,21,1.8659163
Curacao,CUW,2,9.189007
Cyprus,CYP,7,5.616782
Czechia,CZE,98,9.3357525
Democratic Republic of Congo,COD,4,0.036375992
Denmark,DNK,29,4.940161
Djibouti,DJI,0,0.40418932
Dominica,DMA,0,2.1058853
Dominican Republic,DOM,24,2.1051137
East Timor,TLS,1,0.49869007
Ecuador,ECU,42,2.3117273
Egypt,EGY,259,2.333106
El Salvador,SLV,8,1.2174718
Equatorial Guinea,GNQ,5,3.0307202
Eritrea,ERI,1,0.18914719
Estonia,EST,10,7.77628
Eswatini,SWZ,1,1.0527312
Ethiopia,ETH,19,0.15458965
Faroe Islands,FRO,1,14.084624
Fiji,FJI,1,1.1550449
Finland,FIN,36,6.5267396
France,FRA,298,4.603891
French Polynesia,PYF,1,2.8509297
Gabon,GAB,6,2.3882635
Gambia,GMB,1,0.2847278
Georgia,GEO,11,2.962545
Germany,DEU,666,7.9837584
Ghana,GHA,21,0.6215505
Greece,GRC,60,5.7451057
Greenland,GRL,1,10.473997
Grenada,GRD,0,2.7133646
Guatemala,GTM,19,1.0756185
Guinea,GIN,5,0.35742033
Guinea-Bissau,GNB,0,0.15518051
Guyana,GUY,4,4.3736935
Haiti,HTI,2,0.21119381
Honduras,HND,11,1.0696708
Hong Kong,HKG,31,4.081913
Hungary,HUN,44,4.449911
Iceland,ISL,4,9.499798
India,IND,2830,1.9966822
Indonesia,IDN,729,2.6456614
Iran,IRN,691,7.7993317
