Date,Value,year,month
189501,33.6,1895,1
189502,36.0,1895,2
189503,37.4,1895,3
189504,41.8,1895,4
189505,48.3,1895,5
189506,53.0,1895,6
189507,58.4,1895,7
189508,58.0,1895,8
189509,51.9,1895,9
189510,47.2,1895,10
189511,36.9,1895,11
189512,31.2,1895,12
189601,37.1,1896,1
189602,34.8,1896,2
189603,39.3,1896,3
189604,38.3,1896,4
189605,46.5,1896,5
189606,55.6,1896,6
189607,62.1,1896,7
189608,58.8,1896,8
189609,53.1,1896,9
189610,47.1,1896,10
189611,38.4,1896,11
189612,36.8,1896,12
189701,34.2,1897,1
189702,34.1,1897,2
189703,33.8,1897,3
189704,42.5,1897,4
189705,50.2,1897,5
189706,54.5,1897,6
189707,58.8,1897,7
189708,60.0,1897,8
189709,54.2,1897,9
189710,45.6,1897,10
189711,37.8,1897,11
189712,31.1,1897,12
189801,28.3,1898,1
189802,37.0,1898,2
189803,33.8,1898,3
189804,43.3,1898,4
189805,46.6,1898,5
189806,53.7,1898,6
189807,58.1,1898,7
189808,59.9,1898,8
189809,53.8,1898,9
189810,45.6,1898,10
189811,36.2,1898,11
189812,31.1,1898,12
189901,35.0,1899,1
189902,33.3,1899,2
189903,37.7,1899,3
189904,41.6,1899,4
189905,43.6,1899,5
189906,53.4,1899,6
189907,57.1,1899,7
189908,54.3,1899,8
189909,53.7,1899,9
189910,44.3,1899,10
189911,41.5,1899,11
189912,33.9,1899,12
190001,37.0,1900,1
190002,35.3,1900,2
190003,40.7,1900,3
190004,39.7,1900,4
190005,48.2,1900,5
190006,55.0,1900,6
190007,58.1,1900,7
190008,55.5,1900,8
190009,49.8,1900,9
190010,46.0,1900,10
190011,41.4,1900,11
190012,33.7,1900,12
190101,32.6,1901,1
190102,36.4,1901,2
190103,37.5,1901,3
190104,38.3,1901,4
190105,47.9,1901,5
190106,51.9,1901,6
190107,58.8,1901,7
190108,59.7,1901,8
190109,50.7,1901,9
190110,47.9,1901,10
190111,40.7,1901,11
190112,32.0,1901,12
190201,30.9,1902,1
190202,36.6,1902,2
190203,34.8,1902,3
190204,40.3,1902,4
190205,44.9,1902,5
190206,53.2,1902,6
190207,57.0,1902,7
190208,57.0,1902,8
190209,53.6,1902,9
190210,45.2,1902,10
190211,37.7,1902,11
190212,32.9,1902,12
190301,32.3,1903,1
190302,27.8,1903,2
190303,36.9,1903,3
190304,39.8,1903,4
190305,47.0,1903,5
190306,54.6,1903,6
190307,55.1,1903,7
190308,57.3,1903,8
190309,52.4,1903,9
190310,46.0,1903,10
190311,40.5,1903,11
190312,31.6,1903,12
190401,30.2,1904,1
190402,35.9,1904,2
190403,38.7,1904,3
190404,41.4,1904,4
190405,49.1,1904,5
190406,53.5,1904,6
190407,57.8,1904,7
190408,59.8,1904,8
190409,55.4,1904,9
190410,46.0,1904,10
190411,38.7,1904,11
190412,33.0,1904,12
190501,36.9,1905,1
190502,37.8,1905,2
190503,41.1,1905,3
190504,43.0,1905,4
190505,45.1,1905,5
190506,51.7,1905,6
190507,58.5,1905,7
190508,57.6,1905,8
190509,52.6,1905,9
190510,42.9,1905,10
190511,36.9,1905,11
190512,29.9,1905,12
190601,33.5,1906,1
190602,39.8,1906,2
190603,38.2,1906,3
190604,41.3,1906,4
190605,46.4,1906,5
190606,52.2,1906,6
190607,61.5,1906,7
190608,58.8,1906,8
190609,53.4,1906,9
190610,45.6,1906,10
190611,37.1,1906,11
190612,35.9,1906,12
190701,32.9,1907,1
190702,40.3,1907,2
190703,37.4,1907,3
190704,44.4,1907,4
190705,46.1,1907,5
190706,51.7,1907,6
190707,58.2,1907,7
190708,56.3,1907,8
190709,50.6,1907,9
190710,48.9,1907,10
190711,37.8,1907,11
190712,35.4,1907,12
190801,34.9,1908,1
190802,33.6,1908,2
190803,35.8,1908,3
190804,41.2,1908,4
190805,42.8,1908,5
190806,49.2,1908,6
190807,61.0,1908,7
190808,58.0,1908,8
190809,52.7,1908,9
190810,42.6,1908,10
190811,38.2,1908,11
190812,31.3,1908,12
190901,38.0,1909,1
190902,35.8,1909,2
190903,36.0,1909,3
190904,41.2,1909,4
190905,44.9,1909,5
190906,54.2,1909,6
190907,57.2,1909,7
190908,57.5,1909,8
190909,53.2,1909,9
190910,45.2,1909,10
190911,37.8,1909,11
190912,31.8,1909,12
191001,30.1,1910,1
191002,32.2,1910,2
191003,40.3,1910,3
191004,43.6,1910,4
191005,48.8,1910,5
191006,51.2,1910,6
191007,59.4,1910,7
191008,56.5,1910,8
191009,52.7,1910,9
191010,46.5,1910,10
191011,38.9,1910,11
191012,35.0,1910,12
191101,34.1,1911,1
191102,30.7,1911,2
191103,39.7,1911,3
191104,40.4,1911,4
191105,43.8,1911,5
191106,51.9,1911,6
191107,60.1,1911,7
191108,54.9,1911,8
191109,49.9,1911,9
191110,42.9,1911,10
191111,35.3,1911,11
191112,28.8,1911,12
191201,33.7,1912,1
191202,34.1,1912,2
191203,36.0,1912,3
191204,39.0,1912,4
191205,46.9,1912,5
191206,53.2,1912,6
191207,57.2,1912,7
191208,55.8,1912,8
191209,51.8,1912,9
191210,43.0,1912,10
